Timestamp,Prediction
1727672214.1257331,NormalSleep
1727672224.139544,NormalSleep
1727672234.147798,NormalSleep
1727672244.154957,NormalSleep
1727672254.163131,NormalSleep
1727672264.17088,Snore
1727672274.177731,NormalSleep
1727672284.1857972,NormalSleep
1727672294.193876,NormalSleep
1727672304.200536,NormalSleep
1727672314.208429,NormalSleep
1727672324.216279,NormalSleep
1727672334.223009,ObstructiveApnea
1727672344.230748,NormalSleep
1727672354.238425,NormalSleep
1727672364.2461162,NormalSleep
1727672374.254302,NormalSleep
1727672384.26208,NormalSleep
1727672394.270567,NormalSleep
1727672404.277614,NormalSleep
1727672414.2859688,NormalSleep
1727672424.294642,NormalSleep
1727672434.301863,NormalSleep
1727672444.3096588,NormalSleep
1727672454.318652,NormalSleep
1727672464.325578,NormalSleep
1727672474.333308,NormalSleep
1727672484.341078,NormalSleep
1727672494.347828,NormalSleep
1727672504.356983,NormalSleep
1727672514.364896,NormalSleep
1727672524.3737779,NormalSleep
1727672534.381035,NormalSleep
1727672544.390058,NormalSleep
1727672554.396713,NormalSleep
1727672564.4046988,NormalSleep
1727672574.4116359,NormalSleep
1727672584.4203498,NormalSleep
1727672594.427597,ObstructiveApnea
1727672604.4355772,ObstructiveApnea
1727672614.4424808,NormalSleep
1727672624.448986,NormalSleep
1727672634.4563332,NormalSleep
1727672644.463403,ObstructiveApnea
1727672654.470773,NormalSleep
1727672664.477772,ObstructiveApnea
1727672674.4857972,NormalSleep
1727672684.492529,NormalSleep
1727672694.5002198,NormalSleep
1727672704.506971,NormalSleep
1727672714.517838,NormalSleep
1727672724.533097,NormalSleep
1727672734.542496,ObstructiveApnea
1727672744.552665,ObstructiveApnea
1727672754.563956,NormalSleep
1727672764.5759768,NormalSleep
1727672774.5841222,NormalSleep
1727672784.595853,NormalSleep
1727672794.60513,NormalSleep
1727672804.6124108,NormalSleep
1727672814.6202052,NormalSleep
1727672824.627255,ObstructiveApnea
1727672834.635125,NormalSleep
1727672844.641802,NormalSleep
1727672854.650101,NormalSleep
1727672864.656671,NormalSleep
1727672874.664447,ObstructiveApnea
1727672884.672802,NormalSleep
1727672894.681067,NormalSleep
1727672904.688821,NormalSleep
1727672914.7008052,NormalSleep
1727672924.7940328,NormalSleep
1727672934.8418071,NormalSleep
