Model,Accuracy,Clarity,Relevancy,Style,Quality,Average
Gemma 2-2B @ 1Pass,5.0,7.0,6.0,8.0,6.5,6.5
Gemma 2-2B @ 1Pass,5.0,6.0,6.0,8.0,6.25,6.25
Gemma 2-2B @ 1Pass,6.0,7.0,6.0,8.0,6.75,6.75
Gemma 2-2B @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Gemma 2-2B @ 1Pass,6.0,7.0,6.0,8.0,6.75,6.75
Gemma 2-2B @ 1Pass,6.0,6.0,6.0,8.0,6.5,6.5
Gemma 2-2B @ 1Pass,5.0,7.0,6.0,8.0,6.5,6.5
Gemma 2-2B @ 1Pass,4.0,4.0,2.0,7.0,4.25,4.25
Gemma 2-2B @ 1Pass,5.0,7.0,8.0,8.0,7.0,7.0
Gemma 2-2B @ 1Pass,6.0,7.0,6.0,8.0,6.75,6.75
Gemma 2-2B @ MoA 1,7.0,7.0,8.0,6.0,7.0,7.0
Gemma 2-2B @ MoA 1,7.0,7.0,8.0,6.0,7.0,7.0
Gemma 2-2B @ MoA 1,7.0,8.0,8.0,6.0,7.25,7.25
Gemma 2-2B @ MoA 1,7.0,7.0,8.0,6.0,7.0,7.0
Gemma 2-2B @ MoA 1,7.0,8.0,8.0,8.0,7.75,7.75
Gemma 2-2B @ MoA 1,7.0,8.0,8.0,6.0,7.25,7.25
Gemma 2-2B @ MoA 1,7.0,8.0,8.0,9.0,8.0,8.0
Gemma 2-2B @ MoA 1,7.0,8.0,8.0,6.0,7.25,7.25
Gemma 2-2B @ MoA 1,7.0,8.0,8.0,9.0,8.0,8.0
Gemma 2-2B @ MoA 1,7.0,8.0,8.0,6.0,7.25,7.25
Qwen 2.5-3B @ 1Pass,8.0,8.0,8.0,6.0,7.5,7.5
Qwen 2.5-3B @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Qwen 2.5-3B @ 1Pass,7.0,8.0,8.0,6.0,7.25,7.25
Qwen 2.5-3B @ 1Pass,8.0,8.0,8.0,7.0,7.75,7.75
Qwen 2.5-3B @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
Qwen 2.5-3B @ 1Pass,6.0,7.0,6.0,8.0,6.75,6.75
Qwen 2.5-3B @ 1Pass,7.0,8.0,7.0,5.0,6.75,6.75
Qwen 2.5-3B @ 1Pass,7.0,7.0,6.0,8.0,7.0,7.0
Qwen 2.5-3B @ 1Pass,7.0,8.0,7.0,8.0,7.5,7.5
Qwen 2.5-3B @ 1Pass,8.0,8.0,8.0,6.0,7.5,7.5
Qwen 2.5-3B @ MoA 5,7.0,8.0,8.0,9.0,8.0,8.0
Qwen 2.5-3B @ MoA 5,7.0,8.0,8.0,9.0,8.0,8.0
Qwen 2.5-3B @ MoA 5,7.0,8.0,8.0,9.0,8.0,8.0
Qwen 2.5-3B @ MoA 5,7.0,8.0,8.0,9.0,8.0,8.0
Qwen 2.5-3B @ MoA 5,7.0,8.0,8.0,9.0,8.0,8.0
Qwen 2.5-3B @ MoA 5,7.0,8.0,8.0,9.0,8.0,8.0
Qwen 2.5-3B @ MoA 5,7.0,8.0,8.0,9.0,8.0,8.0
Qwen 2.5-3B @ MoA 5,7.0,7.0,8.0,9.0,7.75,7.75
Qwen 2.5-3B @ MoA 5,8.0,8.0,8.0,9.0,8.25,8.25
Qwen 2.5-3B @ MoA 5,8.0,8.0,9.0,9.0,8.5,8.5
GPT-4o-Mini @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
GPT-4o-Mini @ 1Pass,6.0,7.0,8.0,9.0,7.5,7.5
GPT-4o-Mini @ 1Pass,6.0,7.0,6.0,8.0,6.75,6.75
GPT-4o-Mini @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
GPT-4o-Mini @ 1Pass,7.0,8.0,8.0,10.0,8.25,8.25
GPT-4o-Mini @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
GPT-4o-Mini @ 1Pass,6.0,7.0,8.0,9.0,7.5,7.5
GPT-4o-Mini @ 1Pass,6.0,7.0,8.0,9.0,7.5,7.5
GPT-4o-Mini @ 1Pass,4.0,4.0,2.0,7.0,4.25,4.25
GPT-4o-Mini @ 1Pass,5.0,7.0,6.0,8.0,6.5,6.5
GPT-4o @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
GPT-4o @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
GPT-4o @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
GPT-4o @ 1Pass,6.0,7.0,8.0,10.0,7.75,7.75
GPT-4o @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
GPT-4o @ 1Pass,6.0,7.0,8.0,9.0,7.5,7.5
GPT-4o @ 1Pass,6.0,8.0,8.0,10.0,8.0,8.0
GPT-4o @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
GPT-4o @ 1Pass,6.0,7.0,8.0,10.0,7.75,7.75
GPT-4o @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
O1-Mini @ 1Pass,8.0,9.0,9.0,10.0,9.0,9.0
O1-Mini @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
O1-Mini @ 1Pass,7.0,8.0,8.0,10.0,8.25,8.25
O1-Mini @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
O1-Mini @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
O1-Mini @ 1Pass,6.0,7.0,8.0,10.0,7.75,7.75
O1-Mini @ 1Pass,8.0,9.0,8.0,10.0,8.75,8.75
O1-Mini @ 1Pass,8.0,9.0,8.0,10.0,8.75,8.75
O1-Mini @ 1Pass,4.0,4.0,2.0,7.0,4.25,4.25
O1-Mini @ 1Pass,6.0,7.0,8.0,9.0,7.5,7.5
O1-Preview @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
O1-Preview @ 1Pass,7.0,8.0,8.0,10.0,8.25,8.25
O1-Preview @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
O1-Preview @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
O1-Preview @ 1Pass,7.0,8.0,8.0,10.0,8.25,8.25
O1-Preview @ 1Pass,8.0,8.0,9.0,10.0,8.75,8.75
O1-Preview @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
O1-Preview @ 1Pass,7.0,8.0,8.0,9.0,8.0,8.0
